Reward,Episode
-131.95378761291505,0
65.78397662639618,1
82.57830846309662,2
80.43571708202361,3
84.67562699317932,4
98.49896275997162,5
94.55019340515136,6
70.64151573181152,7
76.91441664695739,8
112.43411886692047,9
74.78538300991059,10
78.87834751605988,11
72.49920794963836,12
82.56182863712311,13
86.53136134147644,14
88.57024190425872,15
84.3815987110138,16
108.00655860900879,17
78.76178603172302,18
92.50889117717743,19
100.46359367370606,20
55.034501028060916,21
78.45145163536071,22
78.61465227603912,23
70.67604541778564,24
92.5992977142334,25
61.02750720977783,26
68.91686223745346,27
90.65361213684082,28
74.62569391727448,29
124.16916606426238,30
74.88682613372802,31
76.52461431026458,32
108.29834792613983,33
122.1979044675827,34
94.21632659435272,35
80.6341846227646,36
92.3888017654419,37
80.48283772468567,38
104.483919942379,39
